Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGNPL5M,Nepal Government Bond Yield,Government Bond Yields,Nepal Rupee,Nepal,,,,,,,Percent per Annum,Units,Stock,none,Monthly From Jun 1981 To Jan 2015<BR>,Source: Nepal Rastra Bank,
Date,Ticker,Close
06/30/1981,IGNPL5M,10
07/31/1981,IGNPL5M,10.5
08/31/1981,IGNPL5M,10.5
09/30/1981,IGNPL5M,10.5
10/30/1981,IGNPL5M,10.5
11/30/1981,IGNPL5M,10.5
12/31/1981,IGNPL5M,10.5
01/29/1982,IGNPL5M,10.5
02/26/1982,IGNPL5M,10.5
03/31/1982,IGNPL5M,10.5
04/30/1982,IGNPL5M,10.5
05/31/1982,IGNPL5M,10.5
06/30/1982,IGNPL5M,10.5
07/30/1982,IGNPL5M,10.5
08/31/1982,IGNPL5M,10.5
09/30/1982,IGNPL5M,10.5
10/29/1982,IGNPL5M,10.5
11/30/1982,IGNPL5M,10.5
12/31/1982,IGNPL5M,10.5
01/31/1983,IGNPL5M,10.5
02/28/1983,IGNPL5M,10.5
03/31/1983,IGNPL5M,10.5
04/29/1983,IGNPL5M,10.5
05/31/1983,IGNPL5M,10.5
06/30/1983,IGNPL5M,10.5
07/29/1983,IGNPL5M,10.5
08/31/1983,IGNPL5M,10.5
09/30/1983,IGNPL5M,10.5
10/31/1983,IGNPL5M,10.5
11/30/1983,IGNPL5M,10.5
12/30/1983,IGNPL5M,10.5
01/31/1984,IGNPL5M,10.5
02/29/1984,IGNPL5M,10.5
03/30/1984,IGNPL5M,13
04/30/1984,IGNPL5M,13
05/31/1984,IGNPL5M,13
06/29/1984,IGNPL5M,13
07/31/1984,IGNPL5M,13
08/31/1984,IGNPL5M,13
09/28/1984,IGNPL5M,13
10/31/1984,IGNPL5M,13
11/30/1984,IGNPL5M,13
12/31/1984,IGNPL5M,13
01/31/1985,IGNPL5M,13
02/28/1985,IGNPL5M,13
03/29/1985,IGNPL5M,13
04/30/1985,IGNPL5M,13
05/31/1985,IGNPL5M,13
