Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
ITNPL3D,Nepal 3-month Treasury Bills,Treasury Bill Yields,Nepal Rupee,Nepal,,,,,,,National Currency,Units,Stock,none,Monthly From Jan 1981 To Oct 2008<BR>Weekly From Oct 2008 To Feb 2020<BR>,Source: Nepal Rastra Bank,
Date,Ticker,Open,High,Low,Close
01/31/1981,ITNPL3D,,,,5
02/27/1981,ITNPL3D,,,,5
03/31/1981,ITNPL3D,,,,5
04/30/1981,ITNPL3D,,,,5
05/29/1981,ITNPL3D,,,,5
06/30/1981,ITNPL3D,,,,5
07/31/1981,ITNPL3D,,,,5
08/31/1981,ITNPL3D,,,,5
09/30/1981,ITNPL3D,,,,5
10/30/1981,ITNPL3D,,,,5
11/30/1981,ITNPL3D,,,,5
12/31/1981,ITNPL3D,,,,5
01/29/1982,ITNPL3D,,,,5
02/26/1982,ITNPL3D,,,,5
03/31/1982,ITNPL3D,,,,5
04/30/1982,ITNPL3D,,,,5
05/31/1982,ITNPL3D,,,,5
06/30/1982,ITNPL3D,,,,5
07/30/1982,ITNPL3D,,,,5
08/31/1982,ITNPL3D,,,,5
09/30/1982,ITNPL3D,,,,5
10/29/1982,ITNPL3D,,,,5
11/30/1982,ITNPL3D,,,,5
12/31/1982,ITNPL3D,,,,5
01/31/1983,ITNPL3D,,,,5
02/28/1983,ITNPL3D,,,,5
03/31/1983,ITNPL3D,,,,5
04/29/1983,ITNPL3D,,,,5
05/31/1983,ITNPL3D,,,,5
06/30/1983,ITNPL3D,,,,5
07/29/1983,ITNPL3D,,,,5
08/31/1983,ITNPL3D,,,,5
09/30/1983,ITNPL3D,,,,5
10/31/1983,ITNPL3D,,,,5
11/30/1983,ITNPL3D,,,,5
12/30/1983,ITNPL3D,,,,5
01/31/1984,ITNPL3D,,,,5
02/29/1984,ITNPL3D,,,,5
03/30/1984,ITNPL3D,,,,5
04/30/1984,ITNPL3D,,,,5
05/31/1984,ITNPL3D,,,,5
06/29/1984,ITNPL3D,,,,5
07/31/1984,ITNPL3D,,,,5
08/31/1984,ITNPL3D,,,,5
09/28/1984,ITNPL3D,,,,5
10/31/1984,ITNPL3D,,,,5
11/30/1984,ITNPL3D,,,,5
12/31/1984,ITNPL3D,,,,5
01/31/1985,ITNPL3D,,,,5
02/28/1985,ITNPL3D,,,,5
03/29/1985,ITNPL3D,,,,5
04/30/1985,ITNPL3D,,,,5
05/31/1985,ITNPL3D,,,,5
06/28/1985,ITNPL3D,,,,5
07/31/1985,ITNPL3D,,,,5
08/30/1985,ITNPL3D,,,,5
09/30/1985,ITNPL3D,,,,5
10/31/1985,ITNPL3D,,,,5
11/29/1985,ITNPL3D,,,,5
12/31/1985,ITNPL3D,,,,5
01/31/1986,ITNPL3D,,,,5
02/28/1986,ITNPL3D,,,,5
03/31/1986,ITNPL3D,,,,5
04/30/1986,ITNPL3D,,,,5
05/30/1986,ITNPL3D,,,,5
06/30/1986,ITNPL3D,,,,5
07/31/1986,ITNPL3D,,,,5
08/29/1986,ITNPL3D,,,,5
09/30/1986,ITNPL3D,,,,5
10/31/1986,ITNPL3D,,,,5
11/28/1986,ITNPL3D,,,,5
12/31/1986,ITNPL3D,,,,5
01/30/1987,ITNPL3D,,,,5
02/27/1987,ITNPL3D,,,,5
03/31/1987,ITNPL3D,,,,5
04/30/1987,ITNPL3D,,,,5
05/29/1987,ITNPL3D,,,,5
06/30/1987,ITNPL3D,,,,5
07/31/1987,ITNPL3D,,,,5
08/31/1987,ITNPL3D,,,,5
09/30/1987,ITNPL3D,,,,5
10/30/1987,ITNPL3D,,,,5
11/30/1987,ITNPL3D,,,,5
12/31/1987,ITNPL3D,,,,5
01/29/1988,ITNPL3D,,,,5
02/29/1988,ITNPL3D,,,,5
03/31/1988,ITNPL3D,,,,5
04/29/1988,ITNPL3D,,,,5
05/31/1988,ITNPL3D,,,,5
06/30/1988,ITNPL3D,,,,5
07/29/1988,ITNPL3D,,,,5
08/31/1988,ITNPL3D,,,,5
09/30/1988,ITNPL3D,,,,5
10/31/1988,ITNPL3D,,,,5
11/30/1988,ITNPL3D,,,,5
12/30/1988,ITNPL3D,,,,6.04
01/31/1989,ITNPL3D,,,,5.68
02/28/1989,ITNPL3D,,,,5.68
03/31/1989,ITNPL3D,,,,5.06
04/28/1989,ITNPL3D,,,,5.5
05/31/1989,ITNPL3D,,,,5.28
06/30/1989,ITNPL3D,,,,5.06
07/31/1989,ITNPL3D,,,,5.05
08/31/1989,ITNPL3D,,,,5.08
09/29/1989,ITNPL3D,,,,5.09
10/31/1989,ITNPL3D,,,,6.06
11/30/1989,ITNPL3D,,,,6.6
12/29/1989,ITNPL3D,,,,5.56
01/31/1990,ITNPL3D,,,,6.12
02/28/1990,ITNPL3D,,,,7.42
03/30/1990,ITNPL3D,,,,5.12
04/30/1990,ITNPL3D,,,,5.12
05/31/1990,ITNPL3D,,,,6.12
06/29/1990,ITNPL3D,,,,7.05
07/31/1990,ITNPL3D,,,,6.55
08/31/1990,ITNPL3D,,,,7.51
09/28/1990,ITNPL3D,,,,7.67
10/31/1990,ITNPL3D,,,,7.67
11/30/1990,ITNPL3D,,,,7.96
12/31/1990,ITNPL3D,,,,8.07
01/31/1991,ITNPL3D,,,,8.07
02/28/1991,ITNPL3D,,,,8.37
03/29/1991,ITNPL3D,,,,8.24
04/30/1991,ITNPL3D,,,,8.71
05/31/1991,ITNPL3D,,,,8.54
06/28/1991,ITNPL3D,,,,8.65
07/31/1991,ITNPL3D,,,,8.74
08/30/1991,ITNPL3D,,,,8.43
09/30/1991,ITNPL3D,,,,8.78
10/31/1991,ITNPL3D,,,,8.84
11/29/1991,ITNPL3D,,,,8.7
12/31/1991,ITNPL3D,,,,8.82
01/31/1992,ITNPL3D,,,,8.93
02/28/1992,ITNPL3D,,,,9.33
03/31/1992,ITNPL3D,,,,9.56
04/30/1992,ITNPL3D,,,,9.6
05/29/1992,ITNPL3D,,,,9.64
06/30/1992,ITNPL3D,,,,9.59
07/31/1992,ITNPL3D,,,,9.64
08/31/1992,ITNPL3D,,,,10.17
09/30/1992,ITNPL3D,,,,10.45
10/30/1992,ITNPL3D,,,,12.17
11/30/1992,ITNPL3D,,,,11.68
12/31/1992,ITNPL3D,,,,12.03
01/29/1993,ITNPL3D,,,,12.36
02/26/1993,ITNPL3D,,,,12.57
03/31/1993,ITNPL3D,,,,12.43
04/30/1993,ITNPL3D,,,,11.3
05/31/1993,ITNPL3D,,,,9.56
06/30/1993,ITNPL3D,,,,11.28
07/30/1993,ITNPL3D,,,,11.92
08/31/1993,ITNPL3D,,,,8.49
09/30/1993,ITNPL3D,,,,5.94
10/29/1993,ITNPL3D,,,,7.24
11/30/1993,ITNPL3D,,,,8.74
12/31/1993,ITNPL3D,,,,6.05
01/31/1994,ITNPL3D,,,,3.93
02/28/1994,ITNPL3D,,,,7.57
03/31/1994,ITNPL3D,,,,7.56
04/29/1994,ITNPL3D,,,,6.38
05/31/1994,ITNPL3D,,,,4.93
06/30/1994,ITNPL3D,,,,5.31
07/29/1994,ITNPL3D,,,,6.01
08/31/1994,ITNPL3D,,,,6.36
09/30/1994,ITNPL3D,,,,6.26
10/31/1994,ITNPL3D,,,,6.54
11/30/1994,ITNPL3D,,,,7.02
12/30/1994,ITNPL3D,,,,6.91
01/31/1995,ITNPL3D,,,,6.99
02/28/1995,ITNPL3D,,,,7.38
03/31/1995,ITNPL3D,,,,7.97
04/28/1995,ITNPL3D,,,,8.12
05/31/1995,ITNPL3D,,,,7.94
06/30/1995,ITNPL3D,,,,7.89
07/31/1995,ITNPL3D,,,,8.33
08/31/1995,ITNPL3D,,,,8.34
09/29/1995,ITNPL3D,,,,8.61
10/31/1995,ITNPL3D,,,,8.78
11/30/1995,ITNPL3D,,,,9.14
12/29/1995,ITNPL3D,,,,9.69
01/31/1996,ITNPL3D,,,,11.83
02/29/1996,ITNPL3D,,,,12.68
03/29/1996,ITNPL3D,,,,12.21
04/30/1996,ITNPL3D,,,,10.93
05/31/1996,ITNPL3D,,,,12.7
06/28/1996,ITNPL3D,,,,12.88
07/31/1996,ITNPL3D,,,,12.66
08/30/1996,ITNPL3D,,,,12.18
09/30/1996,ITNPL3D,,,,11.75
10/31/1996,ITNPL3D,,,,11.43
11/29/1996,ITNPL3D,,,,11.63
12/31/1996,ITNPL3D,,,,11.51
01/31/1997,ITNPL3D,,,,11.47
02/28/1997,ITNPL3D,,,,11.62
03/31/1997,ITNPL3D,,,,10.99
04/30/1997,ITNPL3D,,,,9.77
05/30/1997,ITNPL3D,,,,8.51
06/30/1997,ITNPL3D,,,,6.03
07/31/1997,ITNPL3D,,,,5.59
08/29/1997,ITNPL3D,,,,4.34
09/30/1997,ITNPL3D,,,,3.28
10/31/1997,ITNPL3D,,,,4.27
11/28/1997,ITNPL3D,,,,3.06
12/31/1997,ITNPL3D,,,,2.52
01/30/1998,ITNPL3D,,,,3.4
02/27/1998,ITNPL3D,,,,3.9
03/31/1998,ITNPL3D,,,,4
04/30/1998,ITNPL3D,,,,4.4
05/29/1998,ITNPL3D,,,,3.5
06/30/1998,ITNPL3D,,,,3.1
07/31/1998,ITNPL3D,,,,2.4
08/31/1998,ITNPL3D,,,,1.3
09/30/1998,ITNPL3D,,,,0.9
10/30/1998,ITNPL3D,,,,0.7
11/30/1998,ITNPL3D,,,,2.3
12/31/1998,ITNPL3D,,,,3.7
01/29/1999,ITNPL3D,,,,2.3
02/26/1999,ITNPL3D,,,,0.9
03/31/1999,ITNPL3D,,,,1.4
04/30/1999,ITNPL3D,,,,2.8
05/31/1999,ITNPL3D,,,,3.5
06/30/1999,ITNPL3D,,,,3.4
07/30/1999,ITNPL3D,,,,3.1
08/31/1999,ITNPL3D,,,,3
09/30/1999,ITNPL3D,,,,2.9
10/29/1999,ITNPL3D,,,,3.8
11/30/1999,ITNPL3D,,,,3.9
12/31/1999,ITNPL3D,,,,4.3
01/31/2000,ITNPL3D,,,,5.2
02/29/2000,ITNPL3D,,,,5.2
03/31/2000,ITNPL3D,,,,5.2
04/28/2000,ITNPL3D,,,,5.6
05/31/2000,ITNPL3D,,,,5.7
06/30/2000,ITNPL3D,,,,5.3
07/31/2000,ITNPL3D,,,,5.3
08/31/2000,ITNPL3D,,,,5.4
09/29/2000,ITNPL3D,,,,5.2
10/31/2000,ITNPL3D,,,,4.81
11/30/2000,ITNPL3D,,,,5.25
12/29/2000,ITNPL3D,,,,5.3
01/31/2001,ITNPL3D,,,,5.26
02/28/2001,ITNPL3D,,,,5.17
03/30/2001,ITNPL3D,,,,3.9
04/30/2001,ITNPL3D,,,,4.3
05/31/2001,ITNPL3D,,,,4.7
06/30/2001,ITNPL3D,,,,5
07/31/2001,ITNPL3D,,,,4.9
08/31/2001,ITNPL3D,,,,4.5
09/28/2001,ITNPL3D,,,,3.9
10/31/2001,ITNPL3D,,,,4.9
11/30/2001,ITNPL3D,,,,5
