Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
CPNPLM,Nepal Consumer Price Index Inflation Rate,Consumer Price Indices,Nepal Rupee,Nepal,,,,,,,Index Number,Units,Stock,none,Monthly From Jul 1963 To Jan 2020<BR>,"Notes: The National Urban Consumer Price Index (NUCPI) measures the change in the level of prices of a fixed basket of consumer goods and services. The index refers to urban areas defined as government municipalities (about 13 percent of total population) and represents urban households excluding households falling on the first, second, ninth, and tenth income deciles; single person households and households with more than eight persons; households obtaining more than 50 percent of consumption from own production or sources other than market purchases; and households receiving less than 50 percent of their income in cash. Separate indices for Kathmandu valley, urban Hills, and urban Terai (southern plain land) are also compiled. The index reference period is fiscal year 1995/96 (starts in mid July). The composition of the present CPI basket is derived from the household budget survey in urban areas conducted over the twelve-month period, mid-July 1995 Ã¢â‚¬“ mid-July 1996, and with a sample size of 2500 households representing 0.8 percent of urban households. The consumer basket consists of 301 items of goods and services grouped into 17 major consumption groups and sub-groups",
Date,Ticker,Open,High,Low,Close
07/31/1963,CPNPLM,,,,1.7317633
08/30/1963,CPNPLM,,,,1.728388
09/30/1963,CPNPLM,,,,1.7233649
10/31/1963,CPNPLM,,,,1.746859
11/29/1963,CPNPLM,,,,1.8106175
12/31/1963,CPNPLM,,,,1.8005448
01/31/1964,CPNPLM,,,,1.8391613
02/28/1964,CPNPLM,,,,1.8223646
03/31/1964,CPNPLM,,,,1.8525827
04/30/1964,CPNPLM,,,,1.8408357
05/29/1964,CPNPLM,,,,1.8945214
06/30/1964,CPNPLM,,,,1.9213642
07/31/1964,CPNPLM,,,,1.9566055
08/31/1964,CPNPLM,,,,1.9247395
09/30/1964,CPNPLM,,,,1.9666782
10/30/1964,CPNPLM,,,,2.0186895
11/30/1964,CPNPLM,,,,2.0606548
12/31/1964,CPNPLM,,,,2.0170152
01/29/1965,CPNPLM,,,,2.0086434
02/26/1965,CPNPLM,,,,2.0136665
03/31/1965,CPNPLM,,,,1.993521
04/30/1965,CPNPLM,,,,2.0052681
05/31/1965,CPNPLM,,,,2.0522564
06/30/1965,CPNPLM,,,,2.1193901
07/30/1965,CPNPLM,,,,2.1042944
08/31/1965,CPNPLM,,,,2.0874976
09/30/1965,CPNPLM,,,,2.1260876
10/29/1965,CPNPLM,,,,2.1445587
11/30/1965,CPNPLM,,,,2.19657
12/31/1965,CPNPLM,,,,2.2217385
01/31/1966,CPNPLM,,,,2.253631
02/28/1966,CPNPLM,,,,2.3022937
03/31/1966,CPNPLM,,,,2.4365346
04/29/1966,CPNPLM,,,,2.5154154
05/31/1966,CPNPLM,,,,2.6764991
06/30/1966,CPNPLM,,,,2.5019674
07/29/1966,CPNPLM,,,,2.4935956
08/31/1966,CPNPLM,,,,2.3744505
09/30/1966,CPNPLM,,,,2.3157151
10/31/1966,CPNPLM,,,,2.3090177
11/30/1966,CPNPLM,,,,2.2871979
12/30/1966,CPNPLM,,,,2.2150411
01/31/1967,CPNPLM,,,,2.2804739
02/28/1967,CPNPLM,,,,2.3777992
03/31/1967,CPNPLM,,,,2.342558
04/28/1967,CPNPLM,,,,2.3173895
05/31/1967,CPNPLM,,,,2.3677265
06/30/1967,CPNPLM,,,,2.3794735
07/31/1967,CPNPLM,,,,2.3727761
08/31/1967,CPNPLM,,,,2.2955697
09/29/1967,CPNPLM,,,,2.3022937
10/31/1967,CPNPLM,,,,2.3257878
11/30/1967,CPNPLM,,,,2.2586541
12/29/1967,CPNPLM,,,,2.2553054
01/31/1968,CPNPLM,,,,2.3123664
02/29/1968,CPNPLM,,,,2.3056424
03/29/1968,CPNPLM,,,,2.3291365
04/30/1968,CPNPLM,,,,2.2888722
05/31/1968,CPNPLM,,,,2.3559794
06/28/1968,CPNPLM,,,,2.3861976
07/31/1968,CPNPLM,,,,2.3744505
08/30/1968,CPNPLM,,,,2.4029677
09/30/1968,CPNPLM,,,,2.449956
10/31/1968,CPNPLM,,,,2.354305
11/29/1968,CPNPLM,,,,2.3274622
12/31/1968,CPNPLM,,,,2.3173895
01/31/1969,CPNPLM,,,,2.2972706
02/28/1969,CPNPLM,,,,2.3173895
03/31/1969,CPNPLM,,,,2.3257878
04/30/1969,CPNPLM,,,,2.2871979
05/30/1969,CPNPLM,,,,2.354305
06/30/1969,CPNPLM,,,,2.3643778
07/31/1969,CPNPLM,,,,2.4633774
08/29/1969,CPNPLM,,,,2.5170898
09/30/1969,CPNPLM,,,,2.564078
10/31/1969,CPNPLM,,,,2.5825225
