Date,indexes,returns,SVAR,treasury_yields,gov_bond_yields,infl
1997-07,171.7,0.0,4.028679300699223e-05,0.0559,0.09,0.009182736014450743
1997-08,169.64,-0.011997670355270836,8.442781072251965e-05,0.0434,0.09,0.04731574001627137
1997-09,171.23,0.009372789436453687,0.00021002738993500787,0.032799999999999996,0.09,-0.0008688067485073114
1997-10,173.43,0.01284821585002638,0.00039795969056048014,0.042699999999999995,0.09,0.016521737992396535
1997-11,171.64,-0.010321167041457767,0.0001813906510241121,0.030600000000000002,0.09,-0.009409751795313892
1997-12,170.93,-0.004136564903285829,0.00019459370601322543,0.0252,0.09,-0.012089810735586903
1998-01,170.6,-0.0019306148715849325,2.416300069763782e-05,0.034,0.09,0.00786713216562851
1998-02,178.68,0.04736225087924978,0.0013928956589625827,0.039,0.09,0.007805726770496735
1998-03,166.62,-0.06749496306245803,0.004666074397165049,0.04,0.09,0.0017211677206983023
1998-04,158.86,-0.04657304045132631,0.001558594292740281,0.044000000000000004,0.09,0.00773195807972793
1998-05,156.86,-0.012589701624071508,0.0001034014464829371,0.035,0.09,0.013640240003120363
1998-06,165.87,0.05743975519571586,0.00042754438237554515,0.031,0.09,0.015979813900634632
1998-07,161.29,-0.027611985289684768,0.00039546405363001443,0.024,0.09,0.01903973515606361
1998-08,166.54,0.0325500651001302,0.22473791665013462,0.013000000000000001,0.09,0.043866777234253806
1998-09,166.22,-0.001921460309835434,0.00019010127503367916,0.009000000000000001,0.09,0.010116728979043144
1998-10,172.0,0.03477319215497534,0.0002196055545329349,0.006999999999999999,0.09,0.016949152345844265
1998-11,192.93,0.12168604651162794,0.001357598981169719,0.023,0.09,0.014393941302899949
1998-12,175.46,-0.09055097703830405,0.00627477379801843,0.037000000000000005,0.09,-0.023151604857420405
1999-01,179.6,0.023595121395189707,0.00033145284813661496,0.023,0.09,-0.02293578158472076
1999-02,178.94,-0.0036748329621380657,0.00020044503650974924,0.009000000000000001,0.09,-0.007042252899120749
1999-03,187.37,0.04711076338437469,0.0003601499301120568,0.013999999999999999,0.09,0.011820331894528913
1999-04,191.82,0.023749799861237063,0.0010159949823458252,0.027999999999999997,0.09,0.007009345164492364
1999-05,207.77,0.08315087060786162,0.0005787555407316535,0.035,0.09,0.01469450790603788
1999-06,215.15,0.03552004620493813,0.003513891174333412,0.034,0.09,0.008384146238727297
1999-07,226.31,0.051870787822449436,0.0010302763045484853,0.031,0.085,0.014361301969449736
1999-08,229.62,0.014625955547700067,0.00035771280836451437,0.03,0.085,0.01490312893853063
1999-09,245.75,0.0702464942078216,0.0004275329619334425,0.028999999999999998,0.085,0.006607928925175033
1999-10,249.72,0.01615462868769074,0.00039523523464811503,0.038,0.085,0.0036469742134712657
1999-11,260.56,0.043408617651769996,0.00042358568443815495,0.039,0.085,-0.0007267444245183663
1999-12,262.52,0.007522259748234493,0.0005296472648511748,0.043,0.085,-0.018181818679357198
2000-01,275.78,0.050510437300015205,0.0006721026421074801,0.052000000000000005,0.085,-0.013333334931293517
2000-02,308.19,0.11752121256073692,0.009373576944929733,0.052000000000000005,0.085,-0.003753752169573077
2000-03,330.06,0.07096271780395212,0.00609446466160414,0.052000000000000005,0.085,0.002260739251496391
2000-04,350.7,0.06253408471187052,0.008078098340577712,0.055999999999999994,0.085,0.005263156792895574
2000-05,343.49,-0.020558882235528885,0.006870609798327082,0.057,0.085,0.0
2000-06,373.46,0.08725144836822024,0.011211639785155797,0.053,0.085,-0.001495886805185087
2000-07,355.56,-0.04793016655063455,0.009279914596320797,0.053,0.085,0.0112359559428854
2000-08,423.63,0.19144448194397568,0.020272127261601887,0.054000000000000006,0.085,0.018518519034655512
2000-09,423.9,0.0006373486297004032,0.0033247215562146834,0.052000000000000005,0.085,0.007272726924449913
2000-10,468.76,0.10582684595423453,0.0024162625686366874,0.0481,0.085,0.022382670687689954
2000-11,502.85,0.07272378189265302,0.007086604614612214,0.0525,0.085,-0.00211864476588286
2000-12,488.01,-0.029511782837824463,0.0008471094090952035,0.053,0.085,-0.014154281018150083
2001-01,468.07,-0.04085981844634331,0.0006499415852254215,0.0526,0.085,-0.018664750380464668
2001-02,375.29,-0.19821821522421854,0.006098203389139539,0.051699999999999996,0.085,-0.011704463407521182
2001-03,386.87,0.03085613792000848,0.003472747428294631,0.039,0.085,-0.001480385386586236
2001-04,368.38,-0.04779383255357099,0.017959678866924823,0.043,0.085,0.014084506099423244
2001-05,340.43,-0.07587274010532599,0.01970451714650775,0.047,0.085,0.006578949539842505
2001-06,332.69,-0.0227359515906354,0.00052945311611794,0.05,0.085,0.006535947123057495
2001-07,323.64,-0.027202500826595363,0.004609978359465744,0.049,0.085,0.0072150068702774295
2001-08,281.04,-0.13162773451983675,0.00742229914586267,0.045,0.085,0.01361031427108017
2001-09,276.07,-0.017684315399943164,0.003431225016589392,0.039,0.085,0.015547702988530698
2001-10,287.17,0.04020719382765249,0.0003683261130509741,0.049,0.085,0.004871261175662944
2001-11,287.7,0.0018455966848903878,0.0017328997689852485,0.05,0.085,0.0027700840119637693
2001-12,269.75,-0.06239137990962805,0.0007223705643484755,0.05,0.085,-0.011740332737129933
2002-01,251.96,-0.065949953660797,0.0019695776385870983,0.049,0.085,-0.01677148872316858
2002-02,220.28,-0.1257342435307192,0.001568960079525764,0.052000000000000005,0.085,-0.009239517067129888
2002-03,198.81,-0.0974668603595424,0.00991689468000412,0.054000000000000006,0.085,0.0
2002-04,220.17,0.10743926361853018,0.0032214798926282957,0.051,0.085,0.00502152245702181
