S.N,Date,Open,High,Low,Close,Absolute,Percentage,Volume,Trunover
717,2016-11-30,1553.68,1608.37,1553.42,1608.33,54.65,3.39793%,3050818,1348320000
718,2016-11-29,1510.16,1554.58,1468.28,1553.68,43.52,2.80109%,1414328,1138850048
719,2016-11-28,1469.48,1512.14,1404.31,1510.16,40.68,2.69375%,1395511,1061729984
720,2016-11-27,1534.03,1536.53,1468.99,1469.48,-64.55,4.39271%,1475097,864489984
721,2016-11-24,1540.01,1572.72,1516.74,1534.03,-5.98,0.38982%,1607098,nan
722,2016-11-23,1582.47,1583.00,1539.04,1540.01,-42.46,2.75712%,1538788,1037779968
723,2016-11-22,1606.00,1606.00,1574.86,1582.47,-23.53,1.48692%,1269600,813587008
724,2016-11-21,1599.62,1618.95,1572.17,1606.29,6.67,0.41524%,1386895,893379008
725,2016-11-20,1658.08,1658.51,1577.71,1599.62,-58.46,3.65462%,1532528,1225080064
726,2016-11-17,1698.90,1700.95,1657.37,1658.08,-40.82,2.46188%,1620787,1448920064
727,2016-11-16,1701.91,1709.59,1695.94,1698.90,-3.01,0.17717%,1000727,1170429952
728,2016-11-15,1706.28,1714.57,1699.88,1701.91,-4.37,0.25677%,946411,802971008
729,2016-11-14,1700.77,1708.98,1700.77,1706.28,5.51,0.32292%,856688,770372992
730,2016-11-13,1697.17,1708.18,1690.79,1700.00,2.83,0.16647%,862269,718371968
731,2016-11-10,1696.86,1711.91,1689.23,1697.17,0.31,0.01827%,1065351,702545984
732,2016-11-09,1724.49,1724.64,1692.64,1696.86,-27.63,1.6283%,1022692,670987008
733,2016-11-08,1749.12,1749.51,1722.56,1724.49,-24.63,1.42825%,1038547,729078976
734,2016-11-07,1762.21,1764.26,1748.93,1749.12,-13.09,0.74838%,881533,669728000
735,2016-11-03,1759.71,1762.92,1753.22,1762.21,2.5,0.14187%,872421,513843008
736,2016-10-27,1753.46,1763.25,1752.62,1759.71,6.25,0.35517%,1010723,670099008
737,2016-10-26,1751.00,1755.74,1736.71,1753.46,2.46,0.14029%,1054163,771998976
738,2016-10-25,1768.89,1769.17,1749.16,1751.00,-17.89,1.0217%,764924,702017024
739,2016-10-24,1782.39,1783.83,1763.77,1768.89,-13.5,0.76319%,1028707,909726016
740,2016-10-23,1794.47,1798.33,1781.07,1782.39,-12.08,0.67774%,1081007,954121984
741,2016-10-20,1788.86,1795.24,1788.86,1794.47,5.61,0.31263%,787853,686382976
742,2016-10-19,1792.73,1794.14,1784.79,1787.89,-4.84,0.27071%,850234,523798016
743,2016-10-18,1793.36,1794.67,1782.57,1792.73,-0.63,0.03514%,700405,500712000
744,2016-10-17,1803.74,1805.42,1784.19,1793.36,-10.38,0.5788%,783998,626633024
745,2016-10-16,1819.88,1820.96,1801.56,1803.74,-16.14,0.89481%,767544,593185984
746,2016-10-06,1806.60,1822.41,1806.39,1819.88,13.28,0.72972%,1556327,991689984
747,2016-10-05,1798.50,1806.70,1794.58,1806.60,8.1,0.44836%,1018245,918851008
748,2016-10-04,1780.41,1800.47,1780.41,1798.50,18.09,1.00584%,1027237,1087869952
749,2016-10-03,1763.78,1784.05,1763.67,1780.40,16.62,0.9335%,896041,741929984
750,2016-10-02,1753.38,1764.49,1753.21,1763.78,10.4,0.58964%,1024114,853209984
751,2016-09-29,1749.10,1758.16,1744.10,1753.38,4.28,0.2441%,926945,768590976
752,2016-09-28,1753.72,1756.59,1746.69,1749.10,-4.62,0.26414%,1110345,710563008
753,2016-09-27,1757.10,1767.34,1750.30,1753.72,-3.38,0.19273%,966228,700600000
754,2016-09-26,1730.67,1758.22,1730.67,1757.10,26.43,1.50418%,1141761,1004419968
755,2016-09-25,1766.91,1767.82,1725.05,1730.64,-36.27,2.09576%,1153265,1046030016
756,2016-09-22,1779.13,1780.56,1766.25,1766.91,-12.22,0.6916%,916233,880014016
757,2016-09-21,1786.50,1788.34,1765.09,1779.13,-7.37,0.41425%,2219402,899432000
758,2016-09-20,1804.48,1807.62,1785.00,1786.50,-17.98,1.00644%,1615417,1259750016
759,2016-09-18,1815.17,1818.70,1801.02,1804.48,-10.69,0.59241%,2491604,2397319936
760,2016-09-14,1818.69,1821.90,1813.27,1815.17,-3.52,0.19392%,1664283,1331490048
761,2016-09-12,1816.81,1819.95,1809.31,1818.69,1.88,0.10337%,2902255,1093270016
762,2016-09-11,1823.05,1829.20,1815.61,1816.81,-6.24,0.34346%,1851191,1093270016
763,2016-09-08,1824.83,1829.27,1816.98,1823.05,-1.78,0.09764%,2143546,1383559936
764,2016-09-07,1834.80,1838.83,1818.67,1824.83,-9.97,0.54635%,2931984,1533389952
765,2016-09-06,1838.90,1854.68,1818.36,1834.80,-4.1,0.22346%,2260943,1760120064
766,2016-09-05,1819.83,1840.73,1819.50,1838.90,19.07,1.03703%,2246313,1791680000
767,2016-09-04,1805.18,1821.71,1804.87,1819.83,14.65,0.80502%,2115174,1607699968
768,2016-09-01,1797.49,1806.07,1797.49,1805.18,7.69,0.426%,1799511,1293500032
769,2016-08-31,1788.08,1799.39,1781.43,1797.45,9.37,0.52129%,1759379,1154460032
770,2016-08-30,1766.54,1790.15,1766.07,1788.08,21.54,1.20464%,1897082,1400060032
771,2016-08-29,1748.23,1767.60,1747.71,1766.54,18.31,1.03649%,2957608,1410509952
772,2016-08-28,1730.62,1758.90,1730.48,1748.23,17.61,1.0073%,1315647,1310380032
773,2016-08-24,1694.18,1731.07,1694.18,1730.62,36.44,2.1056%,1113165,949550976
774,2016-08-23,1683.12,1704.71,1674.85,1681.86,-1.26,0.07492%,1452250,810753024
775,2016-08-22,1722.43,1725.97,1683.12,1683.12,-39.31,2.33554%,1190431,788593984
776,2016-08-21,1734.93,1744.84,1719.78,1722.43,-12.5,0.72572%,1031566,611920000
777,2016-08-17,1717.45,1742.16,1716.47,1734.93,17.48,1.00753%,1697912,948409984
778,2016-08-16,1694.81,1718.00,1681.67,1717.45,22.64,1.31823%,2038914,983681984
779,2016-08-15,1733.93,1735.51,1685.26,1694.81,-39.12,2.30822%,2417205,1126220032
780,2016-08-14,1774.87,1775.03,1730.95,1733.93,-40.94,2.36111%,2181289,1096530048
781,2016-08-11,1779.57,1788.98,1768.03,1774.87,-4.7,0.26481%,3544784,1188630016
782,2016-08-10,1760.42,1789.45,1741.03,1779.57,19.15,1.0761%,3585860,1933049984
783,2016-08-09,1675.92,1760.42,1675.92,1760.42,84.5,4.79999%,310877,294799008
784,2016-08-08,1764.72,1766.14,1675.91,1675.91,-88.81,5.29921%,1162571,854620032
785,2016-08-07,1768.60,1805.75,1759.24,1764.72,-3.88,0.21986%,2116354,1495219968
786,2016-08-04,1813.72,1814.04,1768.60,1768.60,-45.12,2.55117%,2751009,1403490048
787,2016-08-03,1826.47,1831.70,1795.89,1813.72,-12.75,0.70298%,2499504,1245689984
788,2016-08-02,1845.41,1846.91,1824.66,1826.47,-18.94,1.03697%,3298000,1364979968
789,2016-08-01,1862.76,1866.89,1831.61,1845.41,-17.35,0.94017%,5115420,1496390016
790,2016-07-31,1877.93,1878.02,1861.02,1862.76,-15.17,0.81438%,3594619,1715219968
791,2016-07-28,1881.45,1888.01,1863.32,1877.93,-3.52,0.18744%,10707146,2106669952
792,2016-07-27,1866.50,1888.36,1866.28,1881.45,14.95,0.7946%,4388798,2178769920
793,2016-07-26,1838.49,1869.08,1837.97,1866.50,28.01,1.50067%,5888711,2629519872
794,2016-07-25,1798.83,1838.59,1798.83,1838.49,39.66,2.15721%,4740972,2158749952
795,2016-07-21,1786.84,1804.75,1779.71,1798.83,11.99,0.66654%,3154492,1429859968
796,2016-07-20,1800.47,1813.44,1782.57,1786.84,-13.63,0.7628%,3474801,2057750016
797,2016-07-19,1786.59,1813.42,1785.33,1800.47,13.88,0.77091%,2902127,2101240064
798,2016-07-18,1745.74,1786.68,1745.74,1786.59,40.85,2.28648%,2870497,1806919936
799,2016-07-17,1718.15,1749.96,1715.14,1745.74,27.59,1.58042%,2272045,1274179968
800,2016-07-14,1690.43,1724.99,1689.52,1718.15,27.72,1.61336%,2540658,1356649984
801,2016-07-13,1693.07,1696.57,1671.05,1690.43,-2.64,0.15617%,1966704,1018860032
802,2016-07-12,1702.27,1709.48,1654.02,1693.07,-9.2,0.54339%,1639257,1093299968
803,2016-07-11,1722.53,1727.37,1701.94,1702.27,-20.26,1.19018%,1814720,859897024
804,2016-07-10,1715.77,1732.22,1715.77,1722.53,6.76,0.39245%,2217973,1324669952
805,2016-07-06,1713.21,1722.74,1713.03,1715.72,2.51,0.14629%,4187176,1173100032
806,2016-07-05,1716.83,1717.95,1705.06,1713.21,-3.62,0.2113%,1905401,1423340032
807,2016-07-04,1719.20,1724.02,1714.84,1716.83,-2.37,0.13805%,1817271,1423340032
808,2016-07-03,1723.23,1725.47,1709.34,1719.20,-4.03,0.23441%,2083300,1720080000
809,2016-06-30,1724.59,1734.21,1707.66,1723.23,-1.36,0.07892%,2327464,1599010048
810,2016-06-29,1724.19,1732.68,1721.24,1724.59,0.4,0.02319%,4682066,1457209984
811,2016-06-28,1721.77,1732.97,1711.93,1724.19,2.42,0.14036%,4941830,1700720000
812,2016-06-27,1693.98,1721.77,1693.98,1721.77,27.79,1.61404%,4925276,1508530048
813,2016-06-26,1666.29,1687.96,1665.56,1685.00,18.71,1.11039%,6393582,1461120000
814,2016-06-23,1648.17,1670.71,1648.17,1666.29,18.12,1.08745%,3221026,1894710016
815,2016-06-22,1630.08,1651.26,1630.08,1647.51,17.43,1.05796%,2294736,1751960064
816,2016-06-21,1615.22,1628.92,1615.22,1628.81,13.59,0.83435%,1629872,1196109952
817,2016-06-20,1622.27,1625.76,1609.38,1615.10,-7.17,0.44394%,1845872,1115449984
818,2016-06-19,1632.94,1637.26,1617.51,1622.27,-10.67,0.65772%,1931980,1463939968
819,2016-06-16,1620.62,1636.08,1620.62,1632.94,12.32,0.75447%,5684558,1997389952
820,2016-06-15,1614.15,1620.47,1612.55,1620.47,6.32,0.39001%,1792459,1301680000
821,2016-06-14,1609.95,1619.15,1609.95,1614.15,4.2,0.2602%,3751635,1676819968
822,2016-06-13,1598.02,1626.03,1598.02,1609.59,11.57,0.71882%,1955233,1671020032
823,2016-06-12,1566.70,1601.42,1564.69,1597.96,31.26,1.95624%,2131859,1919480064
824,2016-06-09,1546.88,1566.71,1546.88,1566.70,19.82,1.26508%,1888339,1867000064
825,2016-06-08,1531.49,1547.65,1529.24,1546.80,15.31,0.98979%,1652636,1269299968
826,2016-06-07,1516.80,1537.87,1516.80,1531.49,14.69,0.9592%,1660967,666340992
827,2016-06-06,1483.21,1516.80,1483.21,1516.80,33.59,2.21453%,1622628,1078499968
828,2016-06-05,1517.98,1517.98,1481.29,1483.14,-34.84,2.34907%,2445151,1246659968
829,2016-06-02,1523.56,1524.71,1508.31,1518.12,-5.44,0.35834%,1401002,1009539968
830,2016-06-01,1532.12,1537.22,1517.14,1523.56,-8.56,0.56184%,2351133,1196009984
831,2016-05-31,1526.96,1533.90,1526.96,1532.12,5.16,0.33679%,2480226,1298520064
832,2016-05-30,1522.82,1528.64,1522.82,1526.96,4.14,0.27113%,1991805,1148169984
833,2016-05-29,1525.09,1531.44,1514.67,1522.25,-2.84,0.18657%,2179386,1152870016
834,2016-05-26,1524.12,1528.92,1504.09,1525.09,0.97,0.0636%,2607497,1300760064
835,2016-05-25,1544.53,1547.70,1522.72,1524.12,-20.41,1.33913%,1914102,1413260032
836,2016-05-24,1524.07,1544.72,1523.91,1544.53,20.46,1.32467%,4062795,1530889984
837,2016-05-23,1509.39,1524.07,1509.00,1524.07,14.68,0.96321%,3362632,1404089984
838,2016-05-22,1499.39,1510.34,1499.39,1509.39,10,0.66252%,2823720,1209670016
839,2016-05-19,1496.43,1507.84,1496.41,1499.32,2.89,0.19275%,1963117,1059340032
840,2016-05-18,1484.23,1495.77,1484.23,1496.43,12.2,0.81527%,1423456,988851008
841,2016-05-17,1467.51,1483.87,1466.12,1483.53,16.02,1.07986%,1163596,711369024
842,2016-05-16,1477.38,1478.19,1465.76,1467.51,-9.87,0.67257%,1338035,635006976
843,2016-05-15,1481.94,1484.19,1474.02,1477.38,-4.56,0.30865%,1092609,752662016
844,2016-05-12,1481.27,1485.76,1481.27,1481.94,0.67,0.04521%,1694535,nan
845,2016-05-11,1484.04,1484.26,1475.98,1481.18,-2.86,0.19309%,1796902,1065059968
846,2016-05-10,1482.90,1486.48,1481.37,1484.04,1.14,0.07682%,1910658,1051000000
847,2016-05-09,1472.69,1482.94,1472.44,1482.90,10.21,0.68852%,1579297,976174976
848,2016-05-08,1463.61,1472.73,1463.61,1472.69,9.08,0.61656%,1452709,855352000
849,2016-05-05,1468.11,1468.14,1450.34,1463.13,-4.98,0.34037%,866282,698001984
850,2016-05-04,1471.95,1471.97,1458.54,1468.11,-3.84,0.26156%,970552,688929984
851,2016-05-03,1474.47,1477.51,1468.09,1471.95,-2.52,0.1712%,2326053,917291008
852,2016-05-02,1464.91,1475.65,1464.91,1474.47,9.56,0.64837%,851786,658822976
853,2016-04-28,1458.38,1466.24,1458.37,1464.91,6.53,0.44576%,1271628,931953024
854,2016-04-27,1453.11,1459.20,1448.46,1458.38,5.27,0.36136%,1344688,792118016
855,2016-04-26,1461.75,1465.94,1452.38,1453.11,-8.64,0.59459%,1740179,947782016
856,2016-04-25,1454.35,1461.87,1454.27,1461.75,7.4,0.50624%,1564042,869635008
857,2016-04-24,1441.79,1454.38,1441.79,1454.35,12.56,0.86362%,1061835,803744000
858,2016-04-21,1440.69,1444.18,1434.75,1441.67,0.98,0.06798%,1239236,nan
859,2016-04-20,1430.81,1443.78,1430.36,1440.69,9.88,0.68578%,1397538,nan
860,2016-04-19,1428.73,1440.25,1428.73,1430.81,2.08,0.14537%,1927048,nan
861,2016-04-18,1410.32,1428.86,1410.32,1428.60,18.28,1.27957%,1949566,nan
862,2016-04-17,1405.78,1415.93,1402.33,1409.43,3.65,0.25897%,923313,612819968
863,2016-04-13,1388.90,1406.42,1388.90,1405.78,16.88,1.20076%,1154775,nan
864,2016-04-12,1383.89,1389.12,1383.89,1388.63,4.74,0.34134%,1470309,nan
865,2016-04-11,1382.42,1386.79,1381.00,1383.80,1.38,0.09973%,795581,nan
866,2016-04-10,1380.75,1383.24,1380.75,1382.42,1.67,0.1208%,1127105,nan
867,2016-04-06,1375.26,1380.42,1373.89,1377.42,2.16,0.15681%,979694,nan
868,2016-04-05,1362.53,1375.27,1362.43,1375.26,12.73,0.92564%,986217,nan
869,2016-04-04,1351.54,1362.73,1350.75,1362.53,10.99,0.80659%,745611,nan
870,2016-04-03,1355.48,1361.56,1339.59,1351.54,-3.94,0.29152%,700935,nan
871,2016-03-31,1355.48,1355.48,1355.48,1355.48,-7.5,0.553%,1007566,nan
872,2016-03-30,1362.98,1362.98,1362.98,1362.98,-7.06,0.518%,958713,nan
873,2016-03-29,1370.04,1370.04,1370.04,1370.04,-4.71,0.344%,1726537,nan
874,2016-03-28,1374.75,1374.75,1374.75,1374.75,-2.58,0.188%,1636802,nan
875,2016-03-27,1377.33,1377.33,1377.33,1377.33,20.19,1.466%,1486847,nan
876,2016-03-24,1357.14,1357.14,1357.14,1357.14,11.61,0.855%,1335174,nan
877,2016-03-23,1345.53,1345.53,1345.53,1345.53,3.46,0.257%,1426564,nan
878,2016-03-21,1342.07,1342.07,1342.07,1342.07,-1.86,0.139%,1932661,nan
879,2016-03-20,1343.93,1343.93,1343.93,1343.93,17.4,1.295%,1925463,nan
880,2016-03-17,1326.53,1326.53,1326.53,1326.53,10.76,0.811%,1970953,nan
881,2016-03-16,1315.77,1315.77,1315.77,1315.77,2.92,0.222%,1023341,nan
882,2016-03-15,1312.85,1312.85,1312.85,1312.85,0.65,0.05%,1196448,nan
883,2016-03-14,1312.20,1312.20,1312.20,1312.20,-6.68,0.509%,1079261,nan
884,2016-03-13,1318.88,1318.88,1318.88,1318.88,0.85,0.064%,1460725,nan
885,2016-03-10,1318.03,1318.03,1318.03,1318.03,11.49,0.872%,1842709,nan
886,2016-03-06,1306.54,1306.54,1306.54,1306.54,5.78,0.442%,1095469,nan
887,2016-03-03,1300.76,1300.76,1300.76,1300.76,4.98,0.383%,1084092,nan
888,2016-03-02,1295.78,1295.78,1295.78,1295.78,6.26,0.483%,1047292,nan
889,2016-03-01,1289.52,1289.52,1289.52,1289.52,5.58,0.433%,1048918,nan
890,2016-02-29,1283.94,1283.94,1283.94,1283.94,0.27,0.021%,657310,nan
891,2016-02-28,1283.67,1283.67,1283.67,1283.67,0.15,0.012%,927372,nan
892,2016-02-25,1283.52,1283.52,1283.52,1283.52,3.62,0.282%,2130094,nan
893,2016-02-24,1279.90,1279.90,1279.90,1279.90,-6.03,0.471%,1012087,nan
894,2016-02-23,1285.93,1285.93,1285.93,1285.93,-5.88,0.457%,1322067,nan
895,2016-02-22,1291.81,1291.81,1291.81,1291.81,12.89,0.998%,1693143,nan
896,2016-02-21,1278.92,1278.92,1278.92,1278.92,5.64,0.441%,1865015,nan
897,2016-02-18,1273.28,1273.28,1273.28,1273.28,7.2,0.565%,3345358,nan
898,2016-02-17,1266.08,1266.08,1266.08,1266.08,8.88,0.701%,959463,nan
899,2016-02-16,1257.20,1257.20,1257.20,1257.20,-1.03,0.082%,1094133,nan
900,2016-02-15,1258.23,1258.23,1258.23,1258.23,-1.12,0.089%,978301,nan
901,2016-02-14,1259.35,1259.35,1259.35,1259.35,-4.37,0.347%,1759937,nan
902,2016-02-11,1263.72,1263.72,1263.72,1263.72,-0.03,0.002%,890746,nan
903,2016-02-08,1263.75,1263.75,1263.75,1263.75,0.93,0.074%,1119200,nan
904,2016-02-07,1262.82,1262.82,1262.82,1262.82,11.4,0.903%,1311826,nan
905,2016-02-04,1251.42,1251.42,1251.42,1251.42,9.29,0.742%,1140895,nan
906,2016-02-03,1242.13,1242.13,1242.13,1242.13,2.06,0.166%,755425,nan
907,2016-02-02,1240.07,1240.07,1240.07,1240.07,2.05,0.165%,1014148,nan
908,2016-02-01,1238.02,1238.02,1238.02,1238.02,17.32,1.399%,937377,nan
909,2016-01-31,1220.70,1220.70,1220.70,1220.70,4.59,0.376%,628243,nan
910,2016-01-28,1216.11,1216.11,1216.11,1216.11,-0.85,0.07%,568565,nan
911,2016-01-27,1216.96,1216.96,1216.96,1216.96,-1.43,0.118%,624024,nan
912,2016-01-26,1218.39,1218.39,1218.39,1218.39,-4.02,0.33%,696630,nan
913,2016-01-25,1222.41,1222.41,1222.41,1222.41,2.79,0.228%,719338,nan
914,2016-01-24,1219.62,1219.62,1219.62,1219.62,7.3,0.599%,801033,nan
915,2016-01-21,1212.32,1212.32,1212.32,1212.32,-1.25,0.103%,727897,nan
916,2016-01-20,1213.57,1213.57,1213.57,1213.57,-0.14,0.012%,664833,nan
917,2016-01-19,1213.71,1213.71,1213.71,1213.71,-0.6,0.049%,659760,nan
918,2016-01-18,1214.31,1214.31,1214.31,1214.31,2.31,0.19%,884255,nan
919,2016-01-17,1212.00,1212.00,1212.00,1212.00,21.84,1.802%,702209,nan
920,2016-01-14,1190.16,1190.16,1190.16,1190.16,9.18,0.771%,1222826,nan
921,2016-01-13,1180.98,1180.98,1180.98,1180.98,7.38,0.625%,1387314,nan
922,2016-01-12,1173.60,1173.60,1173.60,1173.60,4.79,0.408%,750643,nan
923,2016-01-11,1168.81,1168.81,1168.81,1168.81,1.63,0.139%,793180,nan
924,2016-01-10,1167.18,1167.18,1167.18,1167.18,3.04,0.26%,976108,nan
925,2016-01-07,1164.14,1164.14,1164.14,1164.14,14.25,1.224%,1009087,nan
926,2016-01-06,1149.89,1149.89,1149.89,1149.89,3.12,0.271%,0,nan
927,2016-01-05,1146.77,1146.77,1146.77,1146.77,-7.85,0.685%,687872,nan
928,2016-01-04,1154.62,1154.62,1154.62,1154.62,-6.22,0.539%,704022,nan
929,2016-01-03,1160.84,1160.84,1160.84,1160.84,9.46,0.815%,839563,nan
930,2015-12-31,1151.38,1151.38,1151.38,1151.38,9.21,0.8%,1139966,nan
931,2015-12-29,1142.17,1142.17,1142.17,1142.17,10.22,0.895%,995341,nan
932,2015-12-28,1131.95,1131.95,1131.95,1131.95,-3.52,0.311%,613178,nan
933,2015-12-27,1135.47,1135.47,1135.47,1135.47,-1.56,0.137%,1163082,nan
934,2015-12-24,1137.03,1137.03,1137.03,1137.03,3.69,0.325%,767309,nan
935,2015-12-23,1133.34,1133.34,1133.34,1133.34,-4.84,0.427%,725903,nan
936,2015-12-22,1138.18,1138.18,1138.18,1138.18,6.66,0.585%,814798,nan
937,2015-12-21,1131.52,1131.52,1131.52,1131.52,12.83,1.134%,726850,nan
938,2015-12-20,1118.69,1118.69,1118.69,1118.69,8.01,0.716%,433391,nan
939,2015-12-17,1110.68,1110.68,1110.68,1110.68,-5.51,0.496%,517474,nan
940,2015-12-16,1116.19,1116.19,1116.19,1116.19,-4.83,0.433%,830891,nan
941,2015-12-15,1121.02,1121.02,1121.02,1121.02,0.84,0.075%,774665,nan
942,2015-12-14,1120.18,1120.18,1120.18,1120.18,1.61,0.144%,448481,nan
943,2015-12-13,1118.57,1118.57,1118.57,1118.57,-0.78,0.07%,764274,nan
944,2015-12-10,1119.35,1119.35,1119.35,1119.35,-3.44,0.307%,622443,nan
945,2015-12-09,1122.79,1122.79,1122.79,1122.79,15.56,1.386%,801687,nan
946,2015-12-08,1107.23,1107.23,1107.23,1107.23,-0.71,0.064%,475582,nan
947,2015-12-07,1107.94,1107.94,1107.94,1107.94,5.14,0.464%,575985,nan
948,2015-12-06,1102.80,1102.80,1102.80,1102.80,29.86,2.708%,499337,nan
949,2015-12-03,1072.94,1072.94,1072.94,1072.94,10.16,0.947%,624534,nan
950,2015-12-02,1062.78,1062.78,1062.78,1062.78,-3.6,0.339%,612830,nan
951,2015-12-01,1066.38,1066.38,1066.38,1066.38,32.26,3.025%,699000,nan
952,2015-11-30,1034.12,1034.12,1034.12,1034.12,11.35,1.098%,668829,nan
953,2015-11-29,1022.77,1022.77,1022.77,1022.77,-21.24,2.077%,542592,nan
954,2015-11-26,1044.01,1044.01,1044.01,1044.01,-12.41,1.189%,584014,nan
955,2015-11-25,1056.42,1056.42,1056.42,1056.42,-10.27,0.972%,455293,nan
956,2015-11-24,1066.69,1066.69,1066.69,1066.69,-9.11,0.854%,449838,nan
957,2015-11-23,1075.80,1075.80,1075.80,1075.80,4.42,0.411%,415169,nan
958,2015-11-22,1071.38,1071.38,1071.38,1071.38,-23.19,2.164%,532551,nan
959,2015-11-19,1094.57,1094.57,1094.57,1094.57,-4.68,0.428%,374878,nan
960,2015-11-18,1099.25,1099.25,1099.25,1099.25,5.07,0.461%,470815,nan
961,2015-11-16,1094.18,1094.18,1094.18,1094.18,-5.91,0.54%,505439,nan
962,2015-11-15,1100.09,1100.09,1100.09,1100.09,-9.14,0.831%,239110,nan
963,2015-11-10,1109.23,1109.23,1109.23,1109.23,1.8,0.162%,404226,nan
964,2015-11-09,1107.43,1107.43,1107.43,1107.43,20.86,1.884%,1056090,nan
965,2015-11-08,1086.57,1086.57,1086.57,1086.57,-4.11,0.378%,379623,nan
966,2015-11-05,1090.68,1090.68,1090.68,1090.68,-1.62,0.149%,374587,nan
967,2015-11-04,1092.30,1092.30,1092.30,1092.30,6.43,0.589%,352496,nan
968,2015-11-03,1085.87,1085.87,1085.87,1085.87,-5.96,0.549%,412810,nan
969,2015-11-02,1091.83,1091.83,1091.83,1091.83,3.53,0.323%,332532,nan
970,2015-11-01,1088.30,1088.30,1088.30,1088.30,-3.74,0.344%,369124,nan
971,2015-10-29,1092.04,1092.04,1092.04,1092.04,7.67,0.702%,398259,nan
972,2015-10-28,1084.37,1084.37,1084.37,1084.37,-7.36,0.679%,420683,nan
973,2015-10-27,1091.73,1091.73,1091.73,1091.73,-29.32,2.686%,361616,nan
974,2015-10-25,1121.05,1121.05,1121.05,1121.05,-6.37,0.568%,0,nan
975,2015-10-19,1127.42,1127.42,1127.42,1127.42,7.59,0.673%,684230,nan
976,2015-10-18,1119.83,1119.83,1119.83,1119.83,-14.26,1.273%,405962,nan
977,2015-10-15,1134.09,1134.09,1134.09,1134.09,-1,0.088%,524556,nan
978,2015-10-14,1135.09,1135.09,1135.09,1135.09,-8.79,0.774%,395022,nan
979,2015-10-11,1143.88,1143.88,1143.88,1143.88,-18.18,1.589%,1263122,nan
980,2015-10-08,1162.06,1162.06,1162.06,1162.06,12.61,1.085%,501915,nan
981,2015-10-07,1149.45,1149.45,1149.45,1149.45,-9.34,0.813%,750009,nan
982,2015-10-06,1158.79,1158.79,1158.79,1158.79,-12.48,1.077%,782657,nan
983,2015-10-05,1171.27,1171.27,1171.27,1171.27,-12.21,1.042%,488767,nan
984,2015-10-04,1183.48,1183.48,1183.48,1183.48,4.74,0.401%,721034,nan
985,2015-10-01,1178.74,1178.74,1178.74,1178.74,-2.54,0.215%,0,nan
986,2015-09-30,1181.28,1181.28,1181.28,1181.28,12.75,1.079%,927149,nan
987,2015-09-29,1168.53,1168.53,1168.53,1168.53,8.44,0.722%,783757,nan
988,2015-09-28,1160.09,1160.09,1160.09,1160.09,-16.77,1.446%,684148,nan
989,2015-09-24,1176.86,1176.86,1176.86,1176.86,-6.5,0.552%,986260,nan
990,2015-09-23,1183.36,1183.36,1183.36,1183.36,27.36,2.312%,804115,nan
991,2015-09-22,1156.00,1156.00,1156.00,1156.00,-40.02,3.462%,836786,nan
992,2015-09-17,1196.02,1196.02,1196.02,1196.02,-6.79,0.568%,0,nan
993,2015-09-16,1202.81,1202.81,1202.81,1202.81,-3.03,0.252%,1047681,nan
994,2015-09-15,1205.84,1205.84,1205.84,1205.84,11.73,0.973%,1075108,nan
995,2015-09-14,1194.11,1194.11,1194.11,1194.11,10.18,0.853%,0,nan
996,2015-09-13,1183.93,1183.93,1183.93,1183.93,15.22,1.286%,0,nan
997,2015-09-10,1168.71,1168.71,1168.71,1168.71,-4.45,0.381%,1145672,nan
998,2015-09-09,1173.16,1173.16,1173.16,1173.16,-1.53,0.13%,766672,nan
999,2015-09-08,1174.69,1174.69,1174.69,1174.69,3.72,0.317%,820409,nan
1000,2015-09-07,1170.97,1170.97,1170.97,1170.97,4.28,0.366%,1799904,nan
1001,2015-09-06,1166.69,1166.69,1166.69,1166.69,-2.71,0.232%,942568,nan
1002,2015-09-03,1169.40,1169.40,1169.40,1169.40,-6.86,0.587%,0,nan
1003,2015-09-02,1176.26,1176.26,1176.26,1176.26,-15.08,1.282%,1003847,nan
1004,2015-09-01,1191.34,1191.34,1191.34,1191.34,-8.81,0.74%,1219562,nan
1005,2015-08-31,1200.15,1200.15,1200.15,1200.15,16.39,1.366%,931860,nan
1006,2015-08-27,1183.76,1183.76,1183.76,1183.76,7.99,0.675%,1050314,nan
1007,2015-08-26,1175.77,1175.77,1175.77,1175.77,-5.64,0.48%,857323,nan
1008,2015-08-25,1181.41,1181.41,1181.41,1181.41,-0.34,0.029%,778764,nan
1009,2015-08-24,1181.75,1181.75,1181.75,1181.75,-2.92,0.247%,2048658,nan
1010,2015-08-23,1184.67,1184.67,1184.67,1184.67,-16.25,1.372%,1694373,nan
1011,2015-08-20,1200.92,1200.92,1200.92,1200.92,9,0.749%,1612264,nan
1012,2015-08-19,1191.92,1191.92,1191.92,1191.92,31.99,2.684%,1223016,nan
1013,2015-08-18,1159.93,1159.93,1159.93,1159.93,2.33,0.201%,2628247,nan
1014,2015-08-17,1157.60,1157.60,1157.60,1157.60,45.55,3.935%,1353649,nan
1015,2015-08-16,1112.05,1112.05,1112.05,1112.05,23.63,2.125%,1616136,nan
1016,2015-08-13,1088.42,1088.42,1088.42,1088.42,11.23,1.032%,1336890,nan
1017,2015-08-12,1077.19,1077.19,1077.19,1077.19,-0.59,0.055%,1056932,nan
