Date,28 Days,91 Days,182 Days,364 Days,Weighted Average Interbank Rate (Daily),7 Days (Regular),7 Days (Regular),15 Days,30 Days,60 Days,90 Days,Weighted Average Deposit Auction Rate (14 Days),Weighted Average Repo Rate (14 Days)
"21 Oct, 2019",,,,,3.7201,,,,,,,,
"22 Oct, 2019",,4.1208,4.4994,4.4129,3.3032,,,,,,,,
"23 Oct, 2019",,,,,3.1498,,,,,,,,
"24 Oct, 2019",,,,,2.9193,,,,,,,,
"25 Oct, 2019",,,,,2.5531,,,,,,,,
"31 Oct, 2019",,3.9859,,4.5550,2.4897,,,,,,,,
"01 Nov, 2019",,,,,2.2927,,,,,,,,
"03 Nov, 2019",,,,,2.2048,,,,,,,,
"04 Nov, 2019",,,,,2.1665,,,,,,,,
"05 Nov, 2019",,3.7398,,4.3942,2.2031,,,,,,,,
"06 Nov, 2019",,,,,2.1693,,,,,,,,
"07 Nov, 2019",,,,,2.1427,,,,,,,,
"08 Nov, 2019",,,,,1.9145,,,,,,,,
"10 Nov, 2019",,,,,1.9583,,,,,,,,
"11 Nov, 2019",,,,,1.8281,,,,,,,,
"12 Nov, 2019",,3.2014,4.1602,,1.9661,,,,,,,,
"13 Nov, 2019",,,,,1.9286,,,,,,,,
"14 Nov, 2019",,,,,1.7884,,,,,,,,
"15 Nov, 2019",,,,,1.6179,,,,,,,,
"17 Nov, 2019",,,,,1.5213,,,,,,,,
"18 Nov, 2019",,,,,1.4512,,,,,,,,
"19 Nov, 2019",,2.9646,3.8360,,1.3033,,,,,,,,
"20 Nov, 2019",,,,,1.1524,,,,,,,,
"21 Nov, 2019",,,,,1.0639,,,,,,,,
"22 Nov, 2019",,,,,0.8092,,,,,,,,
"24 Nov, 2019",,,,,0.9719,,,,,,,,
"25 Nov, 2019",,,,,0.9202,,,,,,,,
"26 Nov, 2019",,1.2471,3.4402,3.1935,0.9000,,,,,,,,
"27 Nov, 2019",,,,,0.8981,,,,,,,,
"28 Nov, 2019",,,,,0.8609,,,,,,,,
"29 Nov, 2019",,,,,0.6631,,,,,,,,
"01 Dec, 2019",,,,,0.6549,,,,,,,,
"02 Dec, 2019",,,,,0.5844,,,,,,,,
"03 Dec, 2019",,1.3063,,,0.6275,,,,,,,,
"04 Dec, 2019",,,,,0.5476,,,,,,,,
"05 Dec, 2019",,,,,0.4972,,,,,,,,
"06 Dec, 2019",,,,,0.4437,,,,,,,,
"08 Dec, 2019",,,,,0.4776,,,,,,,,
"09 Dec, 2019",,,,,0.4337,,,,,,,,
"10 Dec, 2019",,1.3079,,,0.4194,,,,,,,,
