,Date,GDP Per Capita USD,GDP Monthly Growth Rate,Monthly Inflation Rate,Inflation Monthly Growth Rate,NEPSE,NEPSE_returns,SVAR,Risk Premium,Risk Preimum Monthly Change,Risk Premium Absolute,bse_returns,bse_index,GDP Growth
187,1976-07,110.69484166666666,-0.860155105410031,1.3447999999999989,-39.867644428545894,,,,,,,,,0.031726666666666674
188,1976-08,109.73443333333333,-0.8676179656369114,0.4531999999999988,-66.29982153480077,,,,,,,,,0.03417833333333334
189,1976-09,108.774025,-0.8752114574793147,-0.43840000000000123,-196.73433362753804,,,,,,,,,0.03663
190,1976-10,107.81361666666666,-0.882939041129841,-1.3300000000000014,203.37591240875858,,,,,,,,,0.03908166666666667
191,1976-11,106.85320833333333,-0.890804300075269,-2.2216000000000014,67.03759398496233,,,,,,,,,0.04153333333333333
192,1976-12,105.8928,-0.8988109466374627,-3.1132,40.13323730644572,,,,,,,,,0.043985
193,1977-01,105.28023333333333,-0.5784781086784617,-2.028858333333333,-34.830453124330816,,,,,,,,,0.042833750000000004
194,1977-02,104.66766666666666,-0.5818439485474792,-0.9445166666666662,-53.44590348430769,,,,,,,,,0.041682500000000004
195,1977-03,104.0551,-0.5852491855173353,0.13982500000000053,-114.80386793951057,,,,,,,,,0.040531250000000005
196,1977-04,103.44253333333333,-0.5886945153737454,1.2241666666666673,775.4991358245397,,,,,,,,,0.039380000000000005
197,1977-05,102.82996666666666,-0.5921806503836585,2.308508333333334,88.57794417971405,,,,,,,,,0.038228750000000006
198,1977-06,102.2174,-0.5957083197861577,3.392850000000001,46.97152923424578,,,,,,,,,0.037077500000000006
199,1977-07,101.60483333333333,-0.5992782703010114,4.477191666666668,31.959611143041002,,,,,,,,,0.03592625000000001
200,1977-08,100.99226666666667,-0.6028912666556211,5.561533333333335,24.219237133396494,,,,,,,,,0.03477500000000001
201,1977-09,100.3797,-0.6065480921311461,6.645875000000002,19.4971710439567,,,,,,,,,0.03362375000000001
202,1977-10,99.76713333333333,-0.6102495491286246,7.730216666666669,16.316010557927537,,,,,,,,,0.03247250000000001
203,1977-11,99.15456666666667,-0.6139964597559511,8.814558333333336,14.027312731639691,,,,,,,,,0.03132125000000001
204,1977-12,98.542,-0.6177896664366099,9.8989,12.301712980514203,,,,,,,,,0.03017
205,1978-01,99.64739166666666,1.121746734049098,9.686166666666667,-2.149060333303019,,,,,,,,,0.03132725
206,1978-02,100.75278333333333,1.109303162058009,9.473433333333334,-2.19625927009308,,,,,,,,,0.0324845
207,1978-03,101.85817499999999,1.097132635045479,9.260700000000002,-2.2455779847503283,,,,,,,,,0.03364175
208,1978-04,102.96356666666665,1.0852262635440528,9.04796666666667,-2.297162561505421,,,,,,,,,0.034799
209,1978-05,104.06895833333331,1.0735755398268667,8.835233333333337,-2.3511728233599354,,,,,,,,,0.035956249999999995
210,1978-06,105.17434999999998,1.0621723176339366,8.622500000000004,-2.407783986086002,,,,,,,,,0.037113499999999994
211,1978-07,106.27974166666664,1.051008793176913,8.409766666666671,-2.4671885570696714,,,,,,,,,0.03827074999999999
212,1978-08,107.3851333333333,1.0400774873292293,8.197033333333339,-2.5295985223529676,,,,,,,,,0.03942799999999999
213,1978-09,108.49052499999996,1.0293712289162273,7.9843000000000055,-2.5952478742309206,,,,,,,,,0.04058524999999999
