,Date,GDP Per Capita USD,GDP Monthly Growth Rate,Monthly Inflation Rate,Inflation Monthly Growth Rate,NEPSE,SVAR,Risk Premium,Risk Preimum Monthly Change
439,1997-07,212.32874999999996,0.5168841239385703,6.181041666666666,-6.563747905722887,171.7,4.0286793006991996e-05,4.845833333333334,13.618601016021886
440,1997-08,213.42059999999995,0.5142261705021076,5.746833333333333,-7.024840742862922,169.64,8.442781072251853e-05,5.426666666666668,11.986242476354258
441,1997-09,214.51244999999994,0.5115954130013662,5.312625,-7.555610336127143,171.23,0.00021002738993500684,6.007500000000001,10.703316953316955
442,1997-10,215.60429999999994,0.5089914361613949,4.878416666666666,-8.173141024132766,173.43,0.00039795969056048014,6.588333333333335,9.668469968095437
443,1997-11,216.69614999999993,0.506413833119281,4.444208333333333,-8.90059957978169,171.64,0.00018139065102410967,7.169166666666668,8.816089046293955
444,1997-12,217.78799999999998,0.5038622052122527,4.01,-9.770206542222555,170.93,0.00019459370601322988,7.75,8.101824944786678
445,1998-01,217.18995833333332,-0.2745980800901151,4.612875,15.034289276807982,170.6,2.416300069763792e-05,8.0375,3.7096774193548345
446,1998-02,216.59191666666666,-0.2753541974297047,5.21575,13.06939815191177,178.68,0.0013928956589625814,8.325,3.576982892690509
447,1998-03,215.993875,-0.27611449026837026,5.818625,11.558740353736281,166.62,0.004666074397165057,8.612499999999999,3.453453453453449
448,1998-04,215.39583333333334,-0.27687899328935134,6.4215,10.361124836194119,158.86,0.0015585942927402842,8.899999999999999,3.3381712626995608
449,1998-05,214.79779166666668,-0.27764774156107624,7.024375,9.388382776609827,156.86,0.00010340144648293668,9.187499999999998,3.230337078651682
450,1998-06,214.19975000000002,-0.27842077054252456,7.62725,8.582614111575763,165.87,0.0004275443823755469,9.474999999999998,3.129251700680269
451,1998-07,213.60170833333336,-0.27919811608867884,8.230125000000001,7.904224982791976,161.29,0.00039546405363001,9.762499999999998,3.034300791556725
452,1998-08,213.0036666666667,-0.2799798144560688,8.833000000000002,7.325222885436138,166.54,0.2247379166501346,10.049999999999997,2.9449423815620968
453,1998-09,212.40562500000004,-0.28076590230840776,9.435875000000003,6.825257556888949,166.22,0.00019010127503367953,10.337499999999997,2.860696517412933
454,1998-10,211.80758333333338,-0.2815564167223254,10.038750000000004,6.3891795938373575,172.0,0.00021960555453293644,10.624999999999996,2.7811366384522347
455,1998-11,211.20954166666672,-0.28235139519319685,10.641625000000005,6.005478769767159,192.93,0.001357598981169717,10.912499999999996,2.705882352941174
456,1998-12,210.6115,-0.2831508756410981,11.2445,5.665253192064138,175.46,0.006274773798018436,11.2,2.634593356242871
457,1999-01,210.90277500000002,0.13829966549785414,10.928383333333334,-2.811300339425194,179.6,0.0003314528481366164,10.965833333333332,-2.0907738095238115
458,1999-02,211.19405,0.13810866168071262,10.612266666666669,-2.8926205919448216,178.94,0.000200445036509753,10.731666666666666,-2.13542062466753
459,1999-03,211.485325,0.13791818472157932,10.296150000000003,-2.978785556337313,187.37,0.0003601499301120587,10.497499999999999,-2.1820158409690964
460,1999-04,211.77659999999997,0.1377282324435441,9.980033333333337,-3.070241465661105,191.82,0.0010159949823458291,10.263333333333332,-2.2306898467889202
