,Date,indexes,returns,SVAR,treasury_yields,gov_bond_yields,infl
0,1997-07,954.29,0.07522178389598178,0.002010166339,0.050499999999999996,0.0637,0.0012476606363067688
1,1997-08,899.47,-0.05916190751100113,0.002464727931000001,0.051399999999999994,0.0672,0.0018691588785046953
2,1997-09,947.28,0.051789019050444966,0.0026265123049999993,0.0495,0.0649,0.0024875621890545485
3,1997-10,914.62,-0.03508604155478369,0.009363707743000002,0.049699999999999994,0.0623,0.002481389578163906
4,1997-11,955.4,0.043621422487943796,0.0026621198479999998,0.051399999999999994,0.0614,-0.0006188118811880639
5,1997-12,970.43,0.015609171282679583,0.002249391122,0.0516,0.0602,-0.0012383900928791824
6,1998-01,980.28,0.010098972903237103,0.0024688899239999995,0.0504,0.0589,0.0018598884066955979
7,1998-02,1049.34,0.06807842894737663,0.0010533641280000001,0.0509,0.0599,0.0018564356435644136
8,1998-03,1101.75,0.04873842963294152,0.001136787763,0.050300000000000004,0.0602,0.0018529956763433386
9,1998-04,1111.75,0.009035525668709443,0.0016147577229999998,0.0495,0.0604,0.0018495684340320562
10,1998-05,1090.82,-0.019005643420609574,0.000958824197,0.05,0.0592,0.0018461538461538307
11,1998-06,1133.84,0.03868039488845361,0.002097330436,0.049800000000000004,0.0576,0.0012285012285011554
12,1998-07,1120.67,-0.011683381142634086,0.0022281427989999996,0.0496,0.0584,0.0012269938650306678
13,1998-08,957.28,-0.15758607007429418,0.00933401663,0.049,0.0547,0.001225490196078427
14,1998-09,1017.01,0.06052629920018749,0.009970951273999997,0.0461,0.0517,0.001223990208078174
15,1998-10,1098.67,0.07723340749532363,0.005171595246,0.039599999999999996,0.054,0.0024449877750611915
16,1998-11,1163.63,0.05744407200715167,0.0019367346799999997,0.0441,0.0535,0.0
17,1998-12,1229.23,0.054843527731920916,0.003286906692,0.043899999999999995,0.0542,-0.0006097560975609762
18,1999-01,1279.64,0.040190831279158935,0.0033356226079999996,0.0434,0.0536,0.0024405125076265577
19,1999-02,1238.33,-0.032815090665377786,0.003482129753999999,0.0444,0.0587,0.0012172854534386879
20,1999-03,1286.37,0.03806060056715658,0.0032135533680000003,0.0444,0.0592,0.003039513677811634
21,1999-04,1335.18,0.037241815948836486,0.002726646908,0.0429,0.0594,0.0072727272727270975
22,1999-05,1301.84,-0.025287465853720853,0.0030856384460000003,0.045,0.0615,0.0
23,1999-06,1372.71,0.05300823979166552,0.0024092474270000002,0.045700000000000005,0.0627,0.0
24,1999-07,1328.72,-0.03257081535328095,0.001611182443,0.0455,0.0639,0.0030084235860408093
25,1999-08,1320.41,-0.006273778377796873,0.002729877151,0.0472,0.0649,0.002399520095980767
26,1999-09,1282.71,-0.028967267082334575,0.00270494543,0.046799999999999994,0.0646,0.004787552363854086
27,1999-10,1362.93,0.06066176674701588,0.004875933946,0.048600000000000004,0.0651,0.0017867778439546456
28,1999-11,1388.91,0.018882472761026243,0.001354258057,0.0507,0.0662,0.0005945303210466157
29,1999-12,1469.25,0.05623279965410548,0.001148771651,0.052000000000000005,0.0682,0.0
30,2000-01,1394.46,-0.052244822952783904,0.005206353996,0.053200000000000004,0.0666,0.002970885323826611
31,2000-02,1366.42,-0.02031306261044836,0.0030004219760000005,0.0555,0.0646,0.005924170616113722
32,2000-03,1498.58,0.09232381212222356,0.006678340149000001,0.056900000000000006,0.0618,0.008244994110718329
33,2000-04,1452.43,-0.03127997725807787,0.007941721182000002,0.056600000000000004,0.063,0.0005841121495329116
34,2000-05,1420.6,-0.022158698229963615,0.00518549797,0.0579,0.064,0.0011675423234092097
35,2000-06,1454.6,0.02365163115673065,0.002359742922,0.056900000000000006,0.0622,0.005247813411078717
36,2000-07,1430.83,-0.01647625326436223,0.002065471217,0.0596,0.0611,0.002320185614849146
37,2000-08,1517.68,0.05892815758821184,0.001039275447,0.060899999999999996,0.0594,0.0
38,2000-09,1436.51,-0.054966292284748544,0.0015999826230000001,0.06,0.0612,0.005208333333333259
39,2000-10,1429.4,-0.004961784973662941,0.005568072940000002,0.0611,0.06,0.0017271157167531026
40,2000-11,1314.95,-0.08345613371058731,0.003272437096,0.0617,0.0576,0.0005747126436781436
41,2000-12,1320.28,0.004045193222723212,0.005299358621000002,0.057699999999999994,0.0558,-0.0005743825387707346
42,2001-01,1366.01,0.03405024645014182,0.004941047714,0.051500000000000004,0.0562,0.006321839080459801
43,2001-02,1239.94,-0.09683109041654117,0.00252844686,0.048799999999999996,0.0549,0.003997715591090856
44,2001-03,1160.33,-0.06635854393013127,0.007139632405000001,0.044199999999999996,0.0559,0.0022753128555175195
45,2001-04,1249.46,0.07400701055598045,0.007426209725,0.0387,0.0593,0.0039727582292850006
46,2001-05,1255.82,0.005077287698608417,0.002536247072,0.0362,0.0594,0.0045223289994347216
47,2001-06,1224.42,-0.025321483187023132,0.001508369233,0.0349,0.059,0.0016882386043894915
