,Date,GDP Per Capita USD,GDP Monthly Growth Rate,Monthly Inflation Rate,Inflation Monthly Growth Rate,NEPSE,SVAR,Risk Premium,Risk Preimum Monthly Change
118,1970-10,70.8719,0.6009350085984726,13.37401666666667,7.487651406316459,,,,
119,1970-11,71.29525,0.5973453512605126,14.305658333333337,6.966057317609649,,,,
120,1970-12,71.7186,0.5937983245728141,15.2373,6.512399813826547,,,,
121,1971-01,71.71120833333333,-0.010306484882113363,13.800899999999999,-9.426866964619721,,,,
122,1971-02,71.70381666666667,-0.010307547227910125,12.3645,-10.408016868465094,,,,
123,1971-03,71.696425,-0.010308609792733053,10.9281,-11.617129685794,,,,
124,1971-04,71.68903333333334,-0.010309672576649888,9.491700000000002,-13.144096412002076,,,,
125,1971-05,71.68164166666668,-0.0103107355797284,8.055300000000003,-15.133221656815943,,,,
126,1971-06,71.67425000000001,-0.010311798802036394,6.618900000000003,-17.831738110312457,,,,
127,1971-07,71.66685833333335,-0.010312862243641687,5.182500000000003,-21.701491184335755,,,,
128,1971-08,71.65946666666669,-0.010313925904612144,3.746100000000003,-27.71635311143269,,,,
129,1971-09,71.65207500000002,-0.010314989785015638,2.309700000000003,-38.343877632738014,,,,
130,1971-10,71.64468333333336,-0.010316053884920084,0.8733000000000031,-62.18989479153129,,,,
131,1971-11,71.6372916666667,-0.01031711820439342,-0.5630999999999968,-164.47956028856004,,,,
132,1971-12,71.6299,-0.010318182743543288,-1.9995,255.0879062333531,,,,
133,1972-01,72.44295833333334,1.135082323629281,-1.1337916666666668,-43.29624072684838,,,,
134,1972-02,73.25601666666667,1.1223428087961123,-0.26808333333333356,-76.3551504906104,,,,
135,1972-03,74.069075,1.109886082167081,0.5976249999999996,-322.9250854833693,,,,
136,1972-04,74.88213333333333,1.0977028312198183,1.463333333333333,144.8581189430385,,,,
137,1972-05,75.69519166666666,1.0857841478875208,2.329041666666666,59.160022779043274,,,,
138,1972-06,76.50824999999999,1.0741215068372316,3.194749999999999,37.17015224430649,,,,
139,1972-07,77.32130833333332,1.0627067451331467,4.060458333333332,27.097842815035083,,,,
140,1972-08,78.13436666666665,1.0515320431830044,4.926166666666665,21.320458486829278,,,,
141,1972-09,78.94742499999998,1.0405899068740951,5.791874999999998,17.57367121155733,,,,
